root,current_location,classification,paper_manifest_rows,reason
experiments/results/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs10_diplo_issues5_rhon1_0_theta1_0,experiments/results/TO_DELETE/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs10_diplo_issues5_rhon1_0_theta1_0,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs1_diplo_issues5_rho1_0_theta0_0,experiments/results/TO_DELETE/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs1_diplo_issues5_rho1_0_theta0_0,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs1_diplo_issues5_rhon1_0_theta1_0,experiments/results/TO_DELETE/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs1_diplo_issues5_rhon1_0_theta1_0,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs1_items3_comp0_95,experiments/results/TO_DELETE/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs1_items3_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/gpt-5-nano_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_gpt-5-nano_config_unknown_runs10_cofund_proj5_alpha0_5_sigma0_5,experiments/results/TO_DELETE/gpt-5-nano_vs_gpt-5-nano_config_unknown_runs10_cofund_proj5_alpha0_5_sigma0_5,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_gpt-5-nano_config_unknown_runs10_diplo_issues3_rho0_0_theta0_5,experiments/results/TO_DELETE/gpt-5-nano_vs_gpt-5-nano_config_unknown_runs10_diplo_issues3_rho0_0_theta0_5,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5.4-high_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/gpt-5.4-high_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt52_effort_derisk_20260501_134532,experiments/results/TO_DELETE/gpt52_effort_derisk_20260501_134532,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/grok-4_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/grok-4_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/grok-4_vs_deepseek-r1_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/grok-4_vs_deepseek-r1_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/logs,experiments/results/TO_DELETE/logs,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/n2_baseline_comparison_analysis_20260505,experiments/results/n2_baseline_comparison_analysis_20260505,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/n2_plus_multiagent_comparison_analysis_20260505,experiments/results/n2_plus_multiagent_comparison_analysis_20260505,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/n2_ttc_multiagent_comparison_analysis_20260505,experiments/results/n2_ttc_multiagent_comparison_analysis_20260505,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/partial_multiagent_results_plot_report_20260502_assets,experiments/results/TO_DELETE/partial_multiagent_results_plot_report_20260502_assets,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/partial_multiagent_results_plot_report_20260503_assets,experiments/results/TO_DELETE/partial_multiagent_results_plot_report_20260503_assets,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/provider_failure_reports,experiments/results/TO_DELETE/provider_failure_reports,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/qwen3-max-preview_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/qwen3-max-preview_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/scaling pretraining model size,experiments/results/TO_DELETE/scaling pretraining model size,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling test-time compute,experiments/results/TO_DELETE/scaling test-time compute,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260116_031655,experiments/results/TO_DELETE/scaling_experiment_20260116_031655,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260116_052119,experiments/results/TO_DELETE/scaling_experiment_20260116_052119,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260116_052234,experiments/results/TO_DELETE/scaling_experiment_20260116_052234,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260117_172734,experiments/results/TO_DELETE/scaling_experiment_20260117_172734,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260117_185910,experiments/results/TO_DELETE/scaling_experiment_20260117_185910,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260121_070359,experiments/results/TO_DELETE/scaling_experiment_20260121_070359,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260403_050647,experiments/results/TO_DELETE/scaling_experiment_20260403_050647,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260403_051515,experiments/results/TO_DELETE/scaling_experiment_20260403_051515,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/scaling_experiment_20260404_064451,experiments/results/scaling_experiment_20260404_064451,keep_paper_raw,840,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/scaling_experiment_old_20260116_052119,experiments/results/TO_DELETE/scaling_experiment_old_20260116_052119,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/supermajority_derisk_smoke_20260427,experiments/results/TO_DELETE/supermajority_derisk_smoke_20260427,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/supermajority_derisk_smoke_20260427_2,experiments/results/TO_DELETE/supermajority_derisk_smoke_20260427_2,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/supermajority_derisk_smoke_20260427_3,experiments/results/TO_DELETE/supermajority_derisk_smoke_20260427_3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/ttc_native_scaling_20260502_212943,experiments/results/ttc_native_scaling_20260502_212943,keep_paper_raw,216,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/ttc_scaling_20260124_202649,experiments/results/TO_DELETE/ttc_scaling_20260124_202649,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/ttc_scaling_20260124_214133,experiments/results/TO_DELETE/ttc_scaling_20260124_214133,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/ttc_scaling_20260124_222356,experiments/results/TO_DELETE/ttc_scaling_20260124_222356,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/ttc_scaling_20260124_224426,experiments/results/TO_DELETE/ttc_scaling_20260124_224426,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/ttc_scaling_20260125_050451,experiments/results/TO_DELETE/ttc_scaling_20260125_050451,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
